country,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
CD,0.0119650597475064,0.0119650597475064,0.07,-0.017193847436768,-0.017193847436768,0.0007148271251679,0.0017377451158587,0.0017377451158587,-0.0026245461591214,-0.0614321690204442,0.0013755320568846,0.0002088479590123,-0.068,0.0002718029261034,-0.0004452183506312,-0.0020267034625644,0.0399924107833596,-0.0020705280782758,0.0257167606294148,-0.000703785128213,-1.0765405834001207e-06,-7.05280782758444e-05,-0.0020267034625644,0.0399924107833596,-0.0020705280782758,0.0484541036483477,-0.07,-7.05280782758444e-05,0.0375410878818887,-6.76530390444352e-05
DK,-0.0373412105018417,-0.0373412105018417,-0.025490771123117,-0.0196070047510552,-0.0196070047510552,-0.005930399982959,-0.049395570507343,-0.049395570507343,-0.0263888817788904,0.001800968903471,-0.0308190273733214,-0.0092957082235936,-0.033061553982701,-0.0293196846924322,-0.0385499527436247,-0.0608475705532772,-0.0162520069811611,-0.034924053971087,0.002756345431059,-0.0548995180340881,0.0085166571733045,0.0010163958392634,-0.0608475705532772,-0.0162520069811611,-0.034924053971087,0.0017009298329778,-0.0378091813009872,-0.0209281538048976,-0.0131638829016185,-0.0292629234072094
DJ,-0.0095769503745768,-0.0095769503745768,0.0552401557452872,-0.0028047290749059,-0.0028047290749059,0.0298814871359152,0.002,0.002,-0.0020848572102044,-0.0064466246526779,-0.07,0.0013199300825948,0.056803377740941,-0.0005134031139888,-0.07,-0.0156529621823369,-0.010978421596932,-0.0020994673444614,-0.0274112736671134,-0.0405115530289896,-0.0274112736671134,-9.946734446147908e-05,-0.0156529621823369,-0.010978421596932,-0.0020994673444614,0.0556071215274696,-0.0035850679176216,-9.946734446147908e-05,-0.0109784215969321,-8.797434890328582e-05
DM,0.0006301669469941,0.0006301669469941,0.0027949395707257,0.00940835788844,0.00940835788844,-0.0117563799305143,0.0021147232810189,0.0021147232810189,-0.0020799497525299,0.0037634168262113,3.80392895636128e-05,-2.5987137518279635e-05,-0.012106281461471,0.0322535300757852,-0.0107818442649732,0.0068594880438565,-0.0028993283903501,-0.0020696588125239,-0.0003382807034874,0.0501476525312428,-0.0003382807034874,-6.965881252390949e-05,0.0068594880438565,-0.0028993283903501,-0.0020696588125239,0.0015289707341422,0.0056477571118162,-6.965881252390949e-05,-0.0028993283903501,-8.481475899335678e-05
DO,0.0096301117420792,0.0096301117420792,0.0175374657624737,0.0352799176253026,0.0352799176253026,0.0294074841720171,0.0025143330271851,0.0025143330271851,0.0655730337078651,0.0138127506113771,0.0004734993411565,0.0003544328203089,0.0467315557552581,0.0005822615263844,0.0283170963086404,0.0186180866044591,0.0124131126803846,-0.0021408640586062,0.004861014579339,0.0245289788045585,0.07,-0.0001408640586062,0.0186180866044591,0.0124131126803846,-0.0021408640586062,0.0229939509868593,0.0266617264304493,0.002368783110632,0.0125512794377333,-0.0637900243164825
EC,0.0150894373312424,0.0150894373312424,0.0297899253618739,0.001735490492821,0.001735490492821,0.0208285718084619,0.002,0.002,-0.0461167856280686,0.0028260507364712,0.0210912720909239,0.0661336385745852,0.0467590751964739,0.0001109310376581,0.0138066286197169,0.0173763111740028,-0.0401079991802756,0.068,0.0005402534193736,-0.0403573666445635,0.0005402534193736,0.0,0.0173763111740028,-0.0401079991802756,0.068,0.0267952067664477,0.0083976926828095,-0.0028888616421437,-0.0250415104096599,0.0150189624419858
EG,0.0031523605952776,0.0031523605952776,0.0037981794536474,0.015897356169035,0.015897356169035,0.0353457132212869,0.002,0.002,-0.0071883244205568,-0.072,-0.0358748959489983,0.0403380291317391,0.0485487171565659,0.0254438575227147,0.0090327218747874,-0.0401890106305597,0.0154377890695624,0.0342083033468304,0.013556097896761,0.0005771671462513,0.013556097896761,0.0009074424765619,-0.0401890106305597,0.0154377890695624,0.0342083033468304,0.0110561732188367,0.0359533079055127,-0.0426319096624721,0.0154377890695625,0.006847666450464
SV,-0.014098762933126,-0.014098762933126,-0.0016104605284492,0.0029441251133773,0.0029441251133773,0.0466925657555701,0.0013085934104715,0.0013085934104715,-0.072,0.014525400650903,0.0004102537446991,0.0004885219134809,0.0115867082641039,0.07,1.1014902821543382e-05,0.0295139190112163,-0.07,-0.0018102078105943,-0.0015661821774189,-0.07,0.07,0.0001897921894056,0.0295139190112163,-0.07,-0.0018102078105943,0.011233382479129,0.0520308589653273,0.0001897921894056,-0.07,-0.0001193013408077
GQ,-0.0066144756733508,-0.0066144756733508,0.07,0.0005877848828158,0.0005877848828158,0.0055113860190127,0.0019974680086143,0.0019974680086143,-0.0020812424922128,-0.0519667282912618,-4.416704795762172e-05,-0.000293683773647,0.0573559873087848,-0.0008714110392228,-6.968455142382368e-05,-0.0297117781222618,0.0125347998710163,-0.002666448768807,0.0156616009912854,-0.07,0.0156616009912855,-0.000666448768807,-0.0297117781222618,0.0125347998710163,-0.002666448768807,0.0667139037433155,-0.0314709502907367,-0.0112348924346692,0.0125347998710163,-6.665401675820526e-05
ER,0.0120667909333498,0.0120667909333498,0.0308828591654748,0.0020225710942794,0.0020225710942794,0.0101358578757347,0.0020871626187136,0.0020871626187136,0.0331950223142785,0.0207781954693884,-0.0001056105188249,0.07,0.0057764509437796,-0.0004098288078425,4.176065513149252e-05,0.0116267737010385,0.0266549683902758,-0.0020813692912647,0.0001719490806196,-0.0282520550348554,0.0306472577594582,-8.136929126478787e-05,0.0116267737010385,0.0266549683902758,-0.0020813692912647,0.0164956879483724,0.0065539769023975,-8.136929126478787e-05,0.0268621647407518,-7.502770708123219e-05
EE,-0.0279959144297656,-0.0279959144297656,0.0176954473509587,-0.0013576222549841,-0.0013576222549841,0.0326235195903134,-0.068,-0.068,0.0330398242486458,0.0072018905913893,0.0072574425924462,-0.0149864498644986,0.0270002874193064,-0.0244249085555324,-0.0472614512127448,-0.0496914963716431,-0.0254642700705925,-0.0088319768470613,0.017222567639618,-0.0569010637684264,0.0172665232203641,0.0072037641088192,-0.0496914963716431,-0.0254642700705925,-0.0088319768470613,0.0167483368240527,-0.0465583427110888,-0.0252307658208469,-0.0232121619718124,0.007921244015944
