country,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
GL,0.0018067527155364,0.0018067527155364,0.0118646852774785,0.0072601309365287,0.0072601309365287,0.0015885626294329,-0.0042555714219361,-0.0042555714219361,-0.0127389653602829,0.0039620762168229,0.0326899465047543,0.07,0.0165050187288117,-0.0014321727091065,0.0050144993697921,0.0015722911785795,-6.66900535114534e-05,0.0039146570215414,-6.25899513163608e-05,0.0126834379470782,-6.25899513163608e-05,-8.534297845858019e-05,0.0015722911785795,-6.66900535114534e-05,0.0039146570215414,0.0115529357322881,0.0015815599588511,-8.534297845858019e-05,-6.532335277975587e-05,0.0003649106233904
GD,0.0132863497603909,0.0132863497603909,0.0209152176109899,0.0194257689128553,0.0194257689128553,0.0213070355266934,-0.0044926109727559,-0.0044926109727559,0.0039188231069935,0.0708143683512423,-0.0002955763766901,0.0,0.0078809325790218,0.0,0.07,0.0245180183507806,0.0114292110344803,0.0039118198959117,-8.96768235123524e-05,0.07,-8.96768235123524e-05,-8.81801040882868e-05,0.0245180183507806,0.0114292110344803,0.0039118198959117,0.0152422860774085,0.0491018048580869,-8.81801040882868e-05,0.0114292110344803,-9.35717101352429e-05
GP,0.0375802741200684,0.0375802741200684,0.07,0.0115332567483869,0.0115332567483869,0.0345140364177708,-0.0043394789555912,-0.0043394789555912,0.0039181313359585,0.0120070301134107,-0.0003966879338027,-0.0018544161669175,0.0411004644402969,0.000857232755504,-0.0004761128277001,0.0388302605222043,0.07,0.0039105618380009,0.0050360326272215,8.596808802818767e-05,0.0050360326272215,-8.943816199902255e-05,0.0388302605222043,0.07,0.0039105618380009,0.0469524109185013,0.0105694358728133,-8.943816199902255e-05,0.0483453442090738,-8.401265232638178e-05
GU,0.0009992905876519,0.0009992905876519,-0.0073120320769461,-0.011221947662921,-0.011221947662921,-0.0030340193035105,-0.0040783822334242,-0.0040783822334242,0.003912766628474,-0.0078984030509168,-8.03564840110571e-05,-0.0118984030509168,-0.0446280123126391,-0.0303742510340387,-0.0030339700748148,-0.0019883926421705,0.001068792054507,0.0039174723506192,-9.63713166574065e-05,-8.08793730068073e-05,-9.63713166574065e-05,-8.252764938077028e-05,-0.0019883926421705,0.001068792054507,0.0039174723506192,-0.0070846198799525,-0.0033028069652234,-8.252764938077028e-05,0.001068792054507,-8.41591140667471e-05
GT,0.0360196580271851,0.0360196580271851,0.0270236667102077,0.0335664101275113,0.0335664101275113,0.0575895226225602,-0.004558470230475,-0.004558470230475,0.0014929062080428,0.0725350765761908,-0.0016613674205303,0.0369691652117418,0.0340317178384398,-0.000523843831884,-0.0008414173388302,0.074,0.030645252989625,0.0034137210919303,-0.0004863925168226,0.07,0.0308202015796752,-0.0005862789080696,0.074,0.030645252989625,0.0034137210919303,0.0303134472912266,0.0646076050859715,-0.0005862789080696,0.0305779657835607,-0.0003635016559253
GG,0.0025369748922197,0.0025369748922197,0.0187543244858434,-0.0072519264364598,-0.0072519264364598,-0.0001526379688654,-0.0040912965067851,-0.0040912965067851,0.0039164576117453,0.0036384236805586,-8.438112634495676e-05,-0.0003615763194413,-0.0287608696303135,-0.0019169003385633,-0.0001505878372178,0.0037735635868867,-7.69726377319313e-05,0.0039143337275046,-7.437829287393338e-05,-8.679155015665445e-05,-7.437829287393338e-05,-8.566627249534386e-05,0.0037735635868867,-7.69726377319313e-05,0.0039143337275046,-0.0002655326725546,-0.000157731024534,-8.566627249537162e-05,-7.610785611263567e-05,-8.08825230652251e-05
GN,0.0115205943506016,0.0115205943506016,0.07,0.0194344947703519,0.0194344947703519,0.0698066620403219,-0.0036551629840521,-0.0036551629840521,4.456238901945006e-05,0.0532044023503497,-0.0001461629591925,0.0113153048883671,0.066,0.0006083730255685,0.0025002759631663,0.0098300709521575,0.0208200335444707,0.0039116785551765,0.0119488853314787,-0.0001225848052477,0.0119488853314787,-8.832144482345816e-05,0.0098300709521575,0.0208200335444707,0.0039116785551765,0.07,0.0540752546214678,-8.832144482345816e-05,0.0208200335444706,-7.533559430801991e-05
GW,0.0244949948835296,0.0244949948835296,0.07,0.0340415411808799,0.0340415411808799,0.0138411814302869,-0.001756966666817,-0.001756966666817,0.0039136018844796,0.074,0.07,0.0002243221826147,0.066,0.07,-0.0009239472198406,0.074,-0.0044497866330468,0.0039347712836357,5.797259164580515e-05,0.0002313934398839,0.07,-6.522871636427396e-05,0.074,-0.0044497866330468,0.0039347712836357,0.07,0.07,-6.522871636427396e-05,-0.0044497866330468,-5.657378520812495e-05
GY,0.0077799848453823,0.0077799848453823,0.0363856292656019,0.0147810643604159,0.0147810643604159,0.0644067020144292,-0.0028777555821972,-0.0028777555821972,-0.064421016452796,0.0119548956347383,0.0013990738597615,0.0015527224974882,-0.0173328608237528,-0.0309333483241129,0.0540464037764456,0.0512263464608619,-0.0416321941200854,0.0137458021953704,0.0008863189908134,0.0658249970792326,0.0008863189908134,0.0097458021953704,0.0512263464608619,-0.0416321941200854,0.0137458021953704,0.0225145115738424,0.0523616917417354,0.0097458021953704,-0.0415771243335292,0.0150228636870328
HT,-0.0040433813159401,-0.0040433813159401,-0.0337621771540445,-0.0210181750662817,-0.0210181750662817,0.0440505567519914,-0.0032972135970696,-0.0032972135970696,0.0005483147318866,-0.0210258657205465,0.0003513932014651,0.0,-0.0601454804326947,-0.0301415441979837,0.0001615910136783,-0.0208400135541033,0.0163210590807417,-0.0076111894744588,0.0121442434838522,-0.0244602738418255,0.0121442434838522,-0.0116111894744588,-0.0208400135541033,0.0163210590807417,-0.0076111894744588,-0.0039226468298812,0.0190535672330123,-0.0116111894744588,0.0163239776137395,-0.0119569546513849
