fuel_type,country,market
gas,ES,Netherlands_TTF
gas,ET,JKM
gas,FI,Netherlands_TTF
gas,FR,Netherlands_TTF
gas,GA,JKM
gas,GB,UK_NBP
gas,GE,UK_NBP
gas,GF,JKM
gas,GH,JKM
gas,GL,Netherlands_TTF
gas,GM,JKM
gas,GN,JKM
gas,GQ,JKM
gas,GR,Netherlands_TTF
gas,GT,JKM
gas,GW,JKM
gas,GY,JKM
gas,HN,JKM
gas,HR,Netherlands_TTF
gas,HT,JKM
gas,HU,Netherlands_TTF
gas,ID,JKM
gas,IE,UK_NBP
gas,IL,JKM
gas,IN,UK_NBP
gas,IQ,JKM
gas,IR,JKM
gas,IS,Netherlands_TTF
gas,IT,Netherlands_TTF
gas,JM,JKM
gas,JO,JKM
gas,JP,UK_NBP
gas,KE,JKM
gas,KG,JKM
gas,KH,UK_NBP
gas,KP,UK_NBP
gas,KR,UK_NBP
gas,KW,JKM
gas,KZ,JKM
gas,LA,UK_NBP
gas,LB,JKM
gas,LK,UK_NBP
gas,LR,JKM
gas,LS,JKM
gas,LT,Netherlands_TTF
gas,LU,Netherlands_TTF
gas,LV,Netherlands_TTF
gas,LY,JKM
gas,MA,JKM
gas,MD,Netherlands_TTF
gas,ME,Netherlands_TTF
gas,MG,JKM
gas,MK,Netherlands_TTF
gas,ML,JKM
gas,MM,UK_NBP
gas,MN,UK_NBP
gas,MR,JKM
gas,MT,Netherlands_TTF
gas,MW,JKM
gas,MX,Henry_Hub
gas,MY,JKM
gas,MZ,JKM
gas,NA,JKM
gas,NE,JKM
gas,NG,JKM
gas,NI,JKM
gas,NL,Netherlands_TTF
gas,NO,Netherlands_TTF
gas,NP,UK_NBP
gas,NZ,JKM
gas,OM,JKM
gas,PA,JKM
gas,PE,JKM
gas,PG,JKM
gas,PH,UK_NBP
gas,PK,UK_NBP
gas,PL,Netherlands_TTF
gas,PR,JKM
gas,PS,JKM
gas,PT,Netherlands_TTF
gas,PY,JKM
gas,QA,JKM
gas,RO,Netherlands_TTF
gas,RS,Netherlands_TTF
gas,RU,Netherlands_TTF
gas,RW,JKM
gas,SA,JKM
gas,SB,UK_NBP
gas,SD,JKM
gas,SE,Netherlands_TTF
gas,SG,UK_NBP
gas,SI,Netherlands_TTF
gas,SK,Netherlands_TTF
gas,SL,JKM
gas,SN,JKM
gas,SO,JKM
gas,SR,JKM
