country,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
SI,-0.0313099888692617,-0.0313099888692617,0.0065167076465683,-0.0246088989971682,-0.0246088989971682,0.0069515193760184,-0.0461328416606464,-0.0461328416606464,-0.0604657525251314,-0.0316725672780947,1.1050712066335013e-05,0.0096369830777314,-0.008045586095887,-0.07,-0.0022514778138216,-0.0448507166438159,-0.0385937356531306,-0.0104855143108384,0.0006074458333986,-0.0612397179704998,-0.07,0.0408497080777141,-0.0448507166438159,-0.0385937356531306,-0.0104855143108384,0.0068909003866878,-0.0351342292562983,0.0031545941449575,-0.0279063168300841,-0.008208428114714
SB,-0.0303081124886215,-0.0303081124886215,0.0398173266680615,-0.006115495401817,-0.006115495401817,-0.0368308188748813,-0.002,-0.002,-0.068,-0.0498196218797865,0.0045298983542734,-0.0173857743062423,0.0030876653537644,0.0173072173423426,0.007291405566622,-0.068,-0.0248364585568082,0.0019121210909437,-0.0279594398031172,0.0004976717511406,-0.0279594398031172,-8.787890905626039e-05,-0.068,-0.0248364585568082,0.0019121210909437,0.0121659431688878,0.0019677124771314,-8.787890905626039e-05,-0.0248364585568082,-8.626716404569468e-05
SO,0.0199894965309052,0.0199894965309052,-0.0002581572998217,-0.0008164783807658,-0.0008164783807658,0.027095841103154,-0.0017784054116817,-0.0017784054116817,0.0019126299555358,0.034932797848132,-0.0013891297156852,-0.0171729120225044,-0.0022581572998217,-0.0002581572998217,-0.0006324766973102,0.0403376888252341,0.0177187439886018,0.0019120567788796,-4.600119091507926e-05,-0.0008738118112061,-4.600119091507926e-05,-8.794322112032349e-05,0.0403376888252341,0.0177187439886018,0.0019120567788796,0.0368683043248507,0.0588824763978709,-8.794322112032349e-05,0.018448659177583,-6.632959726299292e-05
ZA,-0.0454141148042202,-0.0454141148042202,0.0218529653625542,0.0271431354081676,0.0271431354081676,-0.0111095471434277,0.0321130624600357,0.0321130624600357,0.0033069170168675,-0.0616065852879044,0.07,-0.0272919917299177,0.0246049154298197,-0.0033949738885621,0.000945729701296,-0.0479842013219911,-0.0202581430906697,-0.068,-2.4223949641966055e-05,0.0139918501524925,-2.4223949641910547e-05,0.07,-0.0479842013219911,-0.0202581430906697,-0.068,-0.0044886820489689,0.0020664324592982,-0.0443228739175629,-0.0202581430906696,0.0331305275922445
SS,0.0170761248316768,0.0170761248316768,0.0283716734027648,-0.0082583149308384,-0.0082583149308384,-0.0011003235059235,-0.0017916073866023,-0.0017916073866023,-0.0668280776709889,0.072,5.592605692900099e-05,0.0,-0.072,-0.009883059850104,0.0433883416082222,0.0344165454321094,0.0148779238949833,0.0019339051679375,-0.07,-0.0001052658782818,0.0391381009869905,-6.60948320624355e-05,0.0344165454321094,0.0148779238949833,0.0019339051679375,-0.0365163696101052,0.0516582999587679,-6.609483206240774e-05,0.0164012456157091,-8.99516872550632e-05
ES,-0.0128492150212291,-0.0128492150212291,0.0101765759596649,0.0130441392045978,0.0130441392045978,0.0321414482068379,-0.0289045366942389,-0.0289045366942389,0.0580817331391569,0.0136958049270884,0.0547760554842654,0.0031866378484142,-0.004205441916344,0.0315758222676536,0.0407487224318557,0.0037758468914218,-0.0418818257051043,-0.0004416662500049,-0.0315467706068856,-0.0104219313191501,0.0458652019224424,0.0209387281314432,0.0037758468914218,-0.0418818257051043,-0.0004416662500049,-0.0016660716477701,0.0208842964595701,-0.0114597685305729,-0.0090756589229985,0.0479476039999086
LK,0.0046915563534175,0.0046915563534175,0.0424210321700703,0.0226956348520392,0.0226956348520392,0.0214212275784516,-0.0302344385867895,-0.0302344385867895,-0.000433561273671,0.0030108357817828,0.07,0.0529093986334559,0.0369563831076708,-0.0002255476577474,0.07,0.0565313070409301,-0.0443694381666701,0.0019128001859927,-0.00014070304667,0.0540540591611637,-0.00014070304667,-8.719981400734378e-05,0.0565313070409301,-0.0443694381666701,0.0019128001859927,0.0387578568850384,0.042491347648731,-8.719981400734378e-05,-0.0096988749694813,-7.294098771300679e-05
SH,0.0029179544318997,0.0029179544318997,0.0050092040892151,0.003326624536692,0.003326624536692,0.0164683952967749,-0.0020936088044922,-0.0020936088044922,0.0019132193534854,0.0018429638840446,-8.514413209537164e-05,-0.0001570361159553,0.0056230368673227,3.949955661985971e-05,-0.0001521956827799,0.0018746775397762,0.0049419422011508,0.001937243554772,0.0078200762641423,-7.385853946906273e-05,0.0078200762641423,-6.275644522790724e-05,0.0018746775397762,0.0049419422011508,0.001937243554772,0.0063261581586337,-0.0001404445311259,-6.275644522790724e-05,0.0049419422011508,-8.656857270455953e-05
KN,0.0074808535648914,0.0074808535648914,-0.0005922269485885,-0.0003291825906072,-0.0003291825906072,0.0123440411936235,-0.006758738211683,-0.006758738211683,0.0019221780722028,0.0018984258688751,-0.0024151462382911,-0.0001015741311248,-0.0145265491913363,-0.0115159090070384,-0.004758738211683,0.020842149968636,-0.000316679561373,0.0019170902874112,0.0011714058707513,0.0121213226707448,0.0011714058707513,-8.290971258878566e-05,0.020842149968636,-0.000316679561373,0.0019170902874112,0.0025520908429228,0.0120069618040647,-8.290971258878566e-05,-0.000316679561373,-8.194393162330726e-05
LC,-0.0017875908070301,-0.0017875908070301,-0.0103241865697672,-0.0097645367501794,-0.0097645367501794,0.0068744653689167,-0.002,-0.002,0.0447142701609559,0.000974226786487,0.0203179612607988,-0.0094737336657158,-0.0346805099770751,-0.0291625825948226,0.0329909472459701,0.0088920491974373,-0.0161742442547946,0.0019194226362668,-0.0073802612137451,0.0030832015538355,-0.0073802612137451,-8.05773637331253e-05,0.0088920491974373,-0.0161742442547946,0.0019194226362668,0.0051874977051451,0.0159609249297898,-8.05773637331253e-05,-0.0161742442547948,-9.347183986959293e-05
