year,c_overnight,technology,unit,source_kind,scenario,interpolation,weighting_method,report_year_used
2030,370.99987914792877,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2024
2031,362.0038776864275,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2024
2032,353.2260111808764,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2024
2033,344.6609902969844,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2024
2034,336.30365395618804,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2024
2035,328.14896622570564,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2025
2036,348.8629997378841,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2025
2037,370.88458326089676,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2025
2038,394.296254414943,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2025
2039,419.18576091443896,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2025
2040,445.6463894493385,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2041,423.19782636860197,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2042,401.880065637712,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2043,381.6361453054815,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2044,362.41197276732794,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2045,344.15618022756496,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2046,326.8199874424959,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2047,310.3570713775553,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2048,294.7234424302176,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2049,279.8773268879336,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2020
2050,265.7790553070172,solar_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,ssbr_2020_generation_weighted_geographic_proxy,2025
