technology,window_start_year,window_end_year,quantile,annual_addition_anchor_2024,first_diff_q90,second_diff_q90,anchor_first_diff_2024,first_order_residual_std,second_order_residual_std
solar_power,2015,2024,0.9,438810.616,0.44072619021024484,0.23854505918087643,0.21752620425291447,0.1727098951699975,0.23068408972218035
onwind_power,2015,2024,0.9,30175.0,0.4373443759235258,0.4531822586340187,-1.3502936446211358,0.524535729086014,0.7171473675558845
battery_energy,2015,2024,0.9,1260000.0,0.8778919069201907,0.8303154670108651,0.24116205681688818,0.6015033842521195,0.9868672116433529
