technology,year,annual_addition,log_annual_addition,first_diff,second_diff,first_order_residual,second_order_residual
solar_power,2015,48176.24,10.78262123244275,,,,
solar_power,2016,71930.924,11.183461548601223,0.4008403161584724,,-0.03988587405177246,
solar_power,2017,95144.199,11.463148903971362,0.27968735537013956,-0.12115296078833282,-0.16103883484010528,-0.35969801996920925
solar_power,2018,95977.137,11.47186528583627,0.008716381864907419,-0.27097097350523214,-0.4320098083453374,-0.5095160326861086
solar_power,2019,102364.948,11.536299628300421,0.06443434246415158,0.055717960599244165,-0.37629184774609326,-0.18282709858163226
solar_power,2020,130984.671,11.782835580069293,0.24653595176887144,0.18210160930471986,-0.1941902384413734,-0.05644344987615657
solar_power,2021,143191.459,11.871937887875168,0.08910230780587547,-0.15743364396299597,-0.35162388240436937,-0.3959787031438724
solar_power,2022,193692.535,12.17402730967464,0.3020894217994723,0.21298711399359682,-0.13863676841077255,-0.025557945187279607
solar_power,2023,353026.003,12.774296996091975,0.6002696864173345,0.2981802646178622,0.15954349620708963,0.05963520543698575
solar_power,2024,438810.616,12.99182320034489,0.21752620425291447,-0.38274348216442,-0.22319998595733037,-0.6212885413452964
onwind_power,2015,66887.0,11.110759907353348,,,,
onwind_power,2016,50954.0,10.838678543910763,-0.2720813634425845,,-0.7094257393661103,
onwind_power,2017,47685.0,10.772372162013014,-0.06630638189774984,0.20577498154483465,-0.5036507578212757,-0.24740727708918403
onwind_power,2018,48372.0,10.786676412905166,0.014304250892152481,0.08061063278990233,-0.42304012503137334,-0.37257162584411635
onwind_power,2019,59348.0,10.991173701070684,0.20449728816551804,0.19019303727336556,-0.23284708775800778,-0.2629892213606531
onwind_power,2020,110842.0,11.61586104284155,0.6246873417708656,0.42019005360534756,0.18734296584733978,-0.03299220502867112
onwind_power,2021,90600.0,11.414209492031071,-0.20165155081047814,-0.8263388925813437,-0.638995926734004,-1.2795211512153624
onwind_power,2022,78791.0,11.274554056125178,-0.1396554359058939,0.06199611490458423,-0.5769998118294197,-0.39118614372943444
onwind_power,2023,116432.0,11.665062690586868,0.3905086344616908,0.5301640703675847,-0.046835741461835,0.07698181173356605
onwind_power,2024,30175.0,10.314769045965733,-1.3502936446211358,-1.7408022790828266,-1.7876380205446616,-2.193984537716845
battery_energy,2015,13257.0,9.49228099379885,,,,
battery_energy,2016,15152.0,9.625887815425859,0.13360682162700854,,-0.7442850852931822,
battery_energy,2017,133000.0,11.79810440720389,2.1722165917780316,2.038609770151023,1.294324684857841,1.2082943031401578
battery_energy,2018,181000.0,12.106252310247962,0.30814790304407147,-1.8640686887339601,-0.5697440038761192,-2.6943841557448254
battery_energy,2019,212000.0,12.26434155365415,0.15808924340618802,-0.15005865963788345,-0.7198026635140027,-0.9803741266487486
battery_energy,2020,270000.0,12.506177237980511,0.24183568432636093,0.08374644092017292,-0.6360562225938298,-0.7465690260906922
battery_energy,2021,470000.0,13.060487973686241,0.5543107357057302,0.31247505137936926,-0.3235811712144605,-0.5178404156314959
battery_energy,2022,710000.0,13.473020249017498,0.412532275331257,-0.14177846037447317,-0.4653596315889337,-0.9720939273853383
battery_energy,2023,990000.0,13.805460222110773,0.33243997309327433,-0.0800923022379827,-0.5454519338269164,-0.9104077692488478
battery_energy,2024,1260000.0,14.04662227892766,0.24116205681688818,-0.09127791627638615,-0.6367298501033025,-0.9215933832872513
