,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
7269,Wachun,Hydro,Reservoir,PP,CN,261.1284688465896,,,0.0,0.0,0.0,2010.0,2010.0,2110.0,24.1743,105.9679,{nan},"{'GEM': {'G601240'}, 'GHPT': {'G601240'}}"
7270,Wan An,Hydro,Reservoir,PP,CN,567.6705844491079,,,0.0,0.0,0.0,1990.0,1990.0,2090.0,26.445,114.7948,{nan},"{'GEM': {'G601241'}, 'GHPT': {'G601241'}}"
7271,Tiantai,Hydro,Pumped Storage,PP,CN,270.5900787513016,,,0.0,0.0,0.0,2026.0,2026.0,2126.0,29.1075,121.1296,{nan},"{'GEM': {'G601218'}, 'GHPT': {'G601218'}}"
7272,Tianshengqiao Stage,Hydro,Reservoir,PP,CN,1362.409402677859,,,0.0,0.0,0.0,2000.0,2000.0,2100.0,24.9444,105.1079,{nan},"{'GEM': {'G601216'}, 'GHPT': {'G601216'}}"
7273,Tianshengqiao Stage,Hydro,Reservoir,PP,CN,1498.6503429456448,,,0.0,0.0,0.0,2000.0,2000.0,2100.0,24.967,105.1566,{nan},"{'GEM': {'G601217'}, 'GHPT': {'G601217'}}"
7274,Taka,Hydro,Run-Of-River,PP,CN,124.88752857880374,,,0.0,0.0,0.0,2010.0,2010.0,2110.0,28.6953,101.7194,{nan},"{'GEM': {'G601202'}, 'GHPT': {'G601202'}}"
7275,Suzhi,Hydro,Reservoir,PP,CN,255.45176300209855,,,0.0,0.0,0.0,2005.0,2005.0,2105.0,35.8915,102.327,{nan},"{'GEM': {'G601192'}, 'GHPT': {'G601192'}}"
7276,Tai An,Hydro,Pumped Storage,PP,CN,286.5071422072605,,,0.0,0.0,0.0,2009.246935201401,2009.246935201401,2109.2469352014014,36.1067,117.2808,{nan},"{'GEM': {'G601194'}, 'GHPT': {'G601194'}}"
7277,Tai An,Hydro,Pumped Storage,PP,CN,159.17063455958916,,,0.0,0.0,0.0,2005.0,2005.0,2105.0,36.2246,117.042,{nan},"{'GEM': {'G601193'}, 'GHPT': {'G601193'}}"
7278,Taipingshao,Hydro,Run-Of-River,PP,CN,182.78992819261273,,,0.0,0.0,0.0,1979.0,1979.0,2079.0,40.959,125.3183,{nan},"{'GEM': {'G601197'}, 'GHPT': {'G601197'}}"
