country,year,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,paper pulp and print,textile and leather,transport equipment,wood and wood products,other
AF,2025,0.03282810729194252,-0.021424396691675063,0.039174314283201506,0.03044528945483571,0.03604777990223984,0.025397249905430463,0.025397249905430463,0.033660901525562004,0.02803437437964873,0.05191043003229412,0.025397249905430463,0.025397249905430463,-0.02412348725900637
AF,2030,0.032076559628476,-0.015844452665425668,0.04056436623107751,0.03319511044048595,0.043412795909485435,0.028345385054697747,0.026830882178692006,0.03023586514934662,0.031345204613012934,0.04982070116533088,0.035364863305053174,0.026830882178692006,-0.031783383863494885
AF,2035,0.03102247139764991,-0.013840857951399665,0.03883737752541716,0.03419798874389768,0.038751509362058734,0.027367259168147307,0.02551735020909529,0.030946108479796397,0.030146300386268754,0.04850500442256278,0.035364863305053174,0.02551735020909529,-0.019827037674593373
AF,2040,0.02912983608204711,-0.016509763162466773,0.037667519987614195,0.03154772079515111,0.0362131459841637,0.024801961168204212,0.022650025133994056,0.028939919131049097,0.027512678644030952,0.04668023334929683,0.035364863305053174,0.022650025133994056,-0.023188220457393327
AF,2045,0.02738979862355384,-0.018034586121097207,0.03607421803984301,0.029636978583377216,0.03435227990082468,0.022851399112596038,0.020597205352533843,0.026375139519207114,0.025506666311354342,0.04545878320318919,0.035364863305053174,0.020597205352533843,-0.02443658680071714
AF,2050,0.02594984308977666,-0.01926706945112311,0.034874398397209516,0.02832873557501281,0.03322035305968729,0.021384034952412367,0.0190954759574129,0.025502590822552573,0.024196380531291473,0.04467223857895464,0.035364863305053174,0.0190954759574129,-0.02538328061621975
AL,2025,-0.029913535329582963,0.014516786598607556,-0.04928364522387685,0.06998665815876293,0.007205272101043159,0.07000000000000006,-0.0034452578957663293,0.03547230014301461,-0.05423629301883148,0.011050955455652822,-0.0034452578957663293,0.0014305193361041635,-0.0005341709141047923
AL,2030,-0.047588274356448745,0.008573033655678852,-0.00759321261674728,0.05448786063064248,0.009287188613211761,0.05980207746750654,-0.0072947251175816685,0.05085973740329641,-0.04422854052648861,-0.015496675338531496,-0.0007656298098228653,-0.003411067907264087,-0.0014965342812431892
AL,2035,-0.04799675816975457,0.00828507692694247,-0.007949793577238351,0.05411462407597045,0.0055863805500449,0.05942516114935614,-0.007647778602918653,0.050751273720628376,-0.04383020391907255,-0.015286086722845482,-0.0007656298098228653,-0.003765502606893678,0.041192336185098766
AL,2040,-0.048821216307253223,0.007460057596210934,-0.008804936435467314,0.05320041850462065,0.0050505730834609075,0.0585019423657922,-0.008512547766708511,0.05049905895602258,-0.04427112516921761,-0.01601914348617095,-0.0007656298098228653,-0.004633654916802787,-0.022923977584809685
AL,2045,-0.049421369798810844,0.007065870589182399,-0.00942847046463069,0.052534343681284845,0.004612470494409271,0.05782930066743286,-0.009142604053881453,0.05038622385100666,-0.04431174958474615,-0.01563422141895554,-0.0007656298098228653,-0.005266176107411202,0.03884910259873253
AL,2050,-0.04983995213650527,0.006710310936719699,-0.009861693252202097,0.05207126479956092,0.0045442355326885675,0.05736165626088208,-0.009580641569585713,0.0503685896653332,-0.044110264677938216,-0.015112725880644828,-0.0007656298098228653,-0.005705927311557946,-0.022180839730362112
DZ,2025,0.06999168710841563,0.06634104755103087,0.04002827598297798,0.0699421543939096,0.029440667164763568,0.01879013716795419,0.01879013716795419,0.0699966001730925,0.021427261642172457,0.06202786331406229,0.01879013716795419,0.01879013716795419,0.046428622111908124
DZ,2030,0.061995829882255604,0.05673317606475292,0.03792768479821507,0.06776300339219588,0.028097548250358928,0.01303013739557124,0.011515634519565499,0.0699916625668997,0.016029956953886426,0.06067187368341442,0.020586382428949612,0.011515634519565499,0.04505684463902537
DZ,2035,0.06152994901932285,0.054449906696627304,0.03567672303672409,0.0677143662596158,0.022556022295338263,0.011171772101426614,0.00932186314237482,0.06993669297356164,0.013950813319548283,0.06045012062148869,0.020586382428949612,0.00932186314237482,0.0354463305275341
DZ,2040,0.06143206531474443,0.05397168812028941,0.0352014411318069,0.0677232608751761,0.022421777616967065,0.01101059280100758,0.008858656766797424,0.06992266185283968,0.01372131027683432,0.0604017384812392,0.019325308185972334,0.008858656766797424,0.03382479459210974
DZ,2045,0.06139462087790459,0.05380923309714669,0.035019123487842974,0.0677933636794954,0.02243604583160841,0.010935165043379769,0.008680971283317573,0.06991730519217221,0.013590432242138073,0.06051955565016498,0.020586382428949612,0.008680971283317573,0.04069402483902773
DZ,2050,0.0612412715667936,0.053034017737940475,0.034276954980962504,0.06770094680420558,0.022081527500368292,0.010245209393093369,0.0079566503980939,0.06989535846339301,0.013057554971972474,0.06055445607181098,0.020586382428949612,0.0079566503980939,0.03136028296326132
AS,2025,-0.004879110196987502,0.012208670771261199,0.006817224010482459,-0.0072619280340943115,-0.0016594375866901823,-0.01230996758349956,-0.01230996758349956,-0.00404631596336813,-0.009672843109281404,0.01452416296360548,-0.01230996758349956,-0.01230996758349956,-0.04286284301495924
AS,2030,-0.008152019800049426,0.005653460654519105,0.0011195930690397482,-0.00703346898803936,0.0031842164809599005,-0.011883194373827455,-0.013397697249833418,-0.009992714279178805,-0.00888337481551249,0.0119748672958786,-0.007380880858188332,-0.013397697249833529,-0.011751769724844374
AS,2035,-0.0039752637004799585,0.009646670542080571,-0.0009953673670677343,-0.0007997463542321892,0.0037537742639288663,-0.007630475929982561,-0.009480384889034466,-0.004051626618333248,-0.004851434711861002,0.01581558018398499,-0.007380880858188332,-0.009480384889034466,-0.0060300726595170495
AS,2040,-0.000901069910135166,0.01428946612138482,0.004487374297965863,0.0015168148029687245,0.006182239991981309,-0.005228944823978066,-0.007380880858188332,-0.0010909868611330698,-0.002518227348151214,0.01827080108436685,-0.007380880858188332,-0.007380880858188332,-0.0032523348712563127
AS,2045,-0.003413625041991275,0.008915785180676705,-0.0005525805169641629,-0.0011664450821681216,0.0035488562352792297,-0.007952024552949188,-0.010206218313011384,-0.004428284146338002,-0.005296757354190884,0.015603811125526779,-0.007380880858188332,-0.010206218313011384,-0.007895790097850353
AS,2050,-0.0005265137258244623,0.01790837508536902,0.006465817250464578,0.001852378759411577,0.006743996244086059,-0.0050923218631888645,-0.007380880858188332,-0.0009737659930485476,-0.0022799762843097593,0.019138912648841933,-0.007380880858188332,-0.007380880858188332,0.003186026901182748
AD,2025,0.018942511516669702,0.0538240927974567,0.025288718507928687,0.016559693679562892,0.02216218412696702,0.011511654130157645,0.011511654130157645,0.019775305750289185,0.014148778604376133,0.038345784677262795,0.011511654130157645,0.011511654130157645,-0.05903520899186743
AD,2030,0.01481680026694554,0.05158846150970309,0.02330460686954705,0.015935351078955495,0.026153036547954978,0.011085625693167511,0.009571122817161548,0.012976105787816161,0.014085445251482476,0.034943687362873455,0.016311693871010835,0.009571122817161548,0.010053699233403268
AD,2035,0.005505121188554396,0.04168894940146872,0.01332002731632187,0.008680638534802387,0.013234159152963443,0.0018499089590517936,0.0,0.005428758270701106,0.004628950177173463,0.025295965073019566,0.016311693871010835,0.0,-0.06567404276399191
AD,2040,0.006479810948053055,0.04168894940146872,0.01708667408563369,0.008897695661157057,0.013563120850169641,0.0021519360342101557,0.0,0.0062898939970550405,0.004862653510036896,0.025651681942555182,0.016311693871010835,0.0,0.0699761733369868
